arch_seed,block,embed_params,epochs_run,failed,frozen_quantum_params,head_params,input_dim,logical_two_qubit,model,q_unchanged,quantum_params,representation,runtime_s,swap_est,test_auroc,test_balanced_accuracy,test_brier,test_classification_error,test_ece,test_logloss,total_params,total_trainable_params,train_size,transpiled_depth,transpiled_two_qubit,val_auroc,val_balanced_accuracy,val_brier,val_classification_error,val_ece,val_logloss
5003,0,36,14,False,0,5,8,0,M3_product,False,12,R2_pca8,3.11,0,0.5212422958397535,0.521680790960452,0.2503951055452988,0.4702,0.02602332368292937,0.6940007144606795,53,53,500,4,0,0.5551158432845403,0.5434081278890601,0.24698864227708991,0.449,0.01756617200879956,0.6870883359867623
5003,0,36,20,False,0,5,8,4,M4_entangled,False,12,R2_pca8,3.5,1,0.5224128466872111,0.5216165896250642,0.25105141664779584,0.4692,0.0346862521166979,0.6954166712149934,53,53,500,17,12,0.557962771250642,0.538408448895737,0.24673140935868576,0.4525,0.02083048761172414,0.6866151049543118
5003,0,36,20,False,12,5,8,4,M5_frozen,True,12,R2_pca8,4.29,1,0.5217027799178223,0.5205797380585516,0.2511997375367669,0.4702,0.03677072847460418,0.6957209080711806,53,41,500,17,12,0.557098059514638,0.540719696969697,0.24691290693414097,0.45,0.017942958206767418,0.6869876675637754
5004,0,36,12,False,0,5,8,0,M3_product,False,12,R2_pca8,2.35,0,0.5098496083718541,0.5094921674370827,0.2503461542534814,0.4788,0.02364882588413206,0.6938831818514797,53,53,500,4,0,0.548120907164869,0.5265633025166924,0.2473762598347888,0.4605,0.005297651905224533,0.6878827671795213
5004,0,36,18,False,0,5,8,4,M4_entangled,False,12,R2_pca8,3.37,1,0.5056887198253724,0.510898176682075,0.2508686702789888,0.4776,0.027617973144918463,0.6949408564367379,53,53,500,17,12,0.5421371420775551,0.5295807652799178,0.24772141970191638,0.4585,0.008393901894387764,0.6885885895542038
5004,0,36,24,False,12,5,8,4,M5_frozen,True,12,R2_pca8,4.47,1,0.5101481445814073,0.5129750898818695,0.2512141154664244,0.4774,0.03259360776677425,0.6956612851334054,53,41,500,17,12,0.5452388690934771,0.530993194658449,0.24779421749810446,0.4595,0.014711676802344783,0.6887502314220101
,0,,,False,,,8,,M0_class_prior,,,R2_pca8,0.0,,0.5,0.5,0.24921599999999994,0.472,1.1102230246251565e-16,0.691578359988849,0,0,2000,,,0.5,0.5,0.24921599999999994,0.472,2.220446049250313e-16,0.6915783599888489
,0,,,False,,,8,,M1_logreg,,,R2_pca8,0.03,,0.5158692860811505,0.5160535439137134,0.25000168994380667,0.4718,0.0209418039171215,0.6931988145220849,9,9,2000,,,0.5529550670903954,0.5296128659476117,0.24665731291928103,0.459,0.014259514190267369,0.6864158925648517
,0,,,False,,,8,,M2_mlp,,,R2_pca8,2.15,,0.5538161273754494,0.5412621982537237,0.24759242469185833,0.4504,0.028407928266217703,0.6884354514593755,41,41,2000,,,0.5950029291859271,0.5673712763225476,0.24172060333214007,0.425,0.010479006056027074,0.6762515070046127
5000,0,36,24,False,0,5,8,0,M3_product,False,12,R2_pca8,16.95,0,0.5711169427324089,0.5583622239342578,0.24528746845184732,0.4336,0.025097818426085244,0.6837308368014849,53,53,2000,4,0,0.5952346558808423,0.5799386877247047,0.24233057866087454,0.4125,0.025022103036315246,0.6776762416290594
