block,model,representation,test_auroc,test_logloss,train_size
1,M4_entangled,R1_raw21,0.5912979904982023,0.6786913380185106,2000
2,M4_entangled,R1_raw21,0.573116814329738,0.6849238646844283,2000
3,M4_entangled,R1_raw21,0.5940658705701078,0.6786054344236297,2000
4,M4_entangled,R1_raw21,0.5811695878274268,0.6821541409114806,2000
0,M5_frozen,R1_raw21,0.5901507126348229,0.6781409128332472,2000
1,M5_frozen,R1_raw21,0.582707209809964,0.6814101827435234,2000
2,M5_frozen,R1_raw21,0.5768534925526451,0.6838278086099278,2000
3,M5_frozen,R1_raw21,0.5980757254750899,0.6779669014542147,2000
4,M5_frozen,R1_raw21,0.57923343605547,0.6826154340503032,2000
0,M0_class_prior,R1_raw21,0.5,0.691578359988849,5000
1,M0_class_prior,R1_raw21,0.5,0.691578359988849,5000
2,M0_class_prior,R1_raw21,0.5,0.691578359988849,5000
3,M0_class_prior,R1_raw21,0.5,0.691578359988849,5000
4,M0_class_prior,R1_raw21,0.5,0.691578359988849,5000
0,M1_logreg,R1_raw21,0.589180469953775,0.67783318000381,5000
1,M1_logreg,R1_raw21,0.5937309001027222,0.676607903082861,5000
2,M1_logreg,R1_raw21,0.580235618900873,0.6823588347520572,5000
3,M1_logreg,R1_raw21,0.5923507318952235,0.6781971155775803,5000
4,M1_logreg,R1_raw21,0.5872775423728813,0.6792028503119992,5000
0,M2_mlp,R1_raw21,0.6086557845403184,0.6731736039087763,5000
1,M2_mlp,R1_raw21,0.6011583525937338,0.6750455228632016,5000
2,M2_mlp,R1_raw21,0.5826879494093478,0.6821192350575022,5000
3,M2_mlp,R1_raw21,0.5864552837699024,0.6797260066290539,5000
4,M2_mlp,R1_raw21,0.5955617616846431,0.6769682999057218,5000
0,M3_product,R1_raw21,0.6142528569594248,0.6704581100166587,5000
1,M3_product,R1_raw21,0.609884437596302,0.6716353504729056,5000
2,M3_product,R1_raw21,0.5977478171545968,0.6781506632387511,5000
3,M3_product,R1_raw21,0.6068140087313816,0.6749498702402097,5000
4,M3_product,R1_raw21,0.6075457434514637,0.6740687724870639,5000
0,M4_entangled,R1_raw21,0.6219104712378019,0.6679439773079916,5000
1,M4_entangled,R1_raw21,0.6123207177709297,0.6707620758723577,5000
2,M4_entangled,R1_raw21,0.6059140665125835,0.6767698854145107,5000
3,M4_entangled,R1_raw21,0.6111419812532101,0.6727843864342475,5000
4,M4_entangled,R1_raw21,0.6051035246533129,0.674861134669025,5000
0,M5_frozen,R1_raw21,0.6202608179250129,0.668658699760937,5000
1,M5_frozen,R1_raw21,0.6129155431432973,0.671068836145563,5000
2,M5_frozen,R1_raw21,0.5984317218798151,0.6812247911417777,5000
3,M5_frozen,R1_raw21,0.607581054185927,0.6740364581475633,5000
4,M5_frozen,R1_raw21,0.6028970852593734,0.674600789053519,5000
0,M0_class_prior,R1_raw21,0.5,0.691578359988849,10000
1,M0_class_prior,R1_raw21,0.5,0.691578359988849,10000
2,M0_class_prior,R1_raw21,0.5,0.691578359988849,10000
3,M0_class_prior,R1_raw21,0.5,0.691578359988849,10000
4,M0_class_prior,R1_raw21,0.5,0.691578359988849,10000
0,M1_logreg,R1_raw21,0.5938150038520802,0.6765048377054356,10000
1,M1_logreg,R1_raw21,0.596917693888033,0.6752882555675216,10000
2,M1_logreg,R1_raw21,0.5850755970724191,0.6801451993818175,10000
3,M1_logreg,R1_raw21,0.5969252375449409,0.6767020763461753,10000
4,M1_logreg,R1_raw21,0.590425012840267,0.6784257266374156,10000
0,M2_mlp,R1_raw21,0.6231954609655881,0.6678560722864865,10000
1,M2_mlp,R1_raw21,0.6000686954288649,0.6752480782369338,10000
2,M2_mlp,R1_raw21,0.60154677067283,0.6768256079886327,10000
3,M2_mlp,R1_raw21,0.6264629879301489,0.6662458652585765,10000
4,M2_mlp,R1_raw21,0.6233334938366718,0.6672851737479988,10000
0,M3_product,R1_raw21,0.6410402221366205,0.6596055653042604,10000
1,M3_product,R1_raw21,0.6329723613251155,0.6646021953791984,10000
2,M3_product,R1_raw21,0.6247642205957884,0.6678093091151862,10000
3,M3_product,R1_raw21,0.6213917244478685,0.6681030645732006,10000
4,M3_product,R1_raw21,0.621549178222907,0.6686528445193415,10000
0,M4_entangled,R1_raw21,0.637255874422188,0.6627054391653905,10000
1,M4_entangled,R1_raw21,0.6365303993323062,0.6620265643559246,10000
2,M4_entangled,R1_raw21,0.6283800398048279,0.6652637198998331,10000
3,M4_entangled,R1_raw21,0.6350746340523883,0.6636343484464118,10000
4,M4_entangled,R1_raw21,0.6302776707755522,0.6658188885129428,10000
0,M5_frozen,R1_raw21,0.6383582113507962,0.662142103952817,10000
1,M5_frozen,R1_raw21,0.6249677388289676,0.6667740417081314,10000
2,M5_frozen,R1_raw21,0.6219051746276323,0.6702646752508483,10000
3,M5_frozen,R1_raw21,0.634251893939394,0.6636669342743805,10000
4,M5_frozen,R1_raw21,0.6273513739085772,0.66606851068992,10000
0,M0_class_prior,R2_pca8,0.5,0.691578359988849,500
1,M0_class_prior,R2_pca8,0.5,0.691578359988849,500
2,M0_class_prior,R2_pca8,0.5,0.691578359988849,500
3,M0_class_prior,R2_pca8,0.5,0.691578359988849,500
4,M0_class_prior,R2_pca8,0.5,0.691578359988849,500
0,M1_logreg,R2_pca8,0.5148120505906523,0.6972276769581489,500
