split,structural_hash,encoding_type,n_qubits,depth,gate_count,two_qubit_gate_count,embed_params,quantum_params,head_params,total_trainable_params,val_rmse,wall_clock_seconds
0,6a2bc7144044,angle,4,11,22,10,88,12,5,105,0.02911500826086851,0.949
0,6b81026e8dc1,angle,4,12,27,7,88,12,5,105,0.018990091646624237,1.0858
0,6bb08e12002d,angle,4,9,24,4,88,12,5,105,0.026416920317498486,0.8677
0,6bced5a08fbb,angle,4,7,19,3,88,12,5,105,0.021260376499221672,0.7404
0,6c06e2848b17,angle,4,11,26,6,88,12,5,105,0.021582187043922976,1.1825
0,6c1699daf1ec,angle,4,16,23,15,88,12,5,105,0.04760062492580576,0.9518
0,6c71145ed992,angle,4,8,20,4,88,12,5,105,0.027707313075328276,0.7741
0,6cc7e7dd8d50,angle,4,17,26,14,88,12,5,105,0.01835940631308371,1.1562
0,6d4a03999dd0,angle,4,15,25,13,88,12,5,105,0.022268713590910247,0.9807
0,6d6a31ff0afd,angle,4,10,19,7,88,12,5,105,0.042507030213709635,0.9016
0,6dd137af510f,angle,4,7,19,3,88,12,5,105,0.01618698242633385,0.8027
0,6de30d805df0,angle,4,7,19,3,88,12,5,105,0.02685964869352661,0.7457
0,6df3d7537ca4,angle,4,7,16,4,88,12,5,105,0.03906384987770906,0.7636
0,6e24630f70db,angle,4,4,16,0,88,12,5,105,0.03528923569563869,0.7113
0,6f35829dac41,angle,4,9,24,4,88,12,5,105,0.02304356258604179,0.9688
0,6f3d2137c78b,angle,4,14,26,10,88,12,5,105,0.026249300047175763,1.0439
0,6f8da0858071,angle,4,15,27,11,88,12,5,105,0.027619635107312825,1.053
0,6fcfed41d352,angle,4,11,23,7,88,12,5,105,0.023087821461545383,1.2482
0,6fd834c8cb22,angle,4,10,19,7,88,12,5,105,0.03040708089841081,0.8414
0,702068993771,angle,4,15,27,11,88,12,5,105,0.022122735448312086,1.058
0,70317631cdc5,angle,4,15,27,11,88,12,5,105,0.02371333240725438,0.9482
0,704dd67903d8,angle,4,15,25,13,88,12,5,105,0.02926246924427698,1.0934
0,711973c45164,angle,4,11,23,7,88,12,5,105,0.02338997041134041,0.888
0,712d8aea6e74,angle,4,15,24,12,88,12,5,105,0.020512146368264324,0.9831
0,7153c5bd5f0c,angle,4,15,27,11,88,12,5,105,0.02656990585723892,1.0092
0,718b5ae24e65,angle,4,13,26,10,88,12,5,105,0.015488007185109282,0.8679
0,71fd367bd6d4,angle,4,9,27,3,88,12,5,105,0.018007910558505195,1.126
0,72f7705457f9,angle,4,15,22,14,88,12,5,105,0.018206241051814297,0.9652
0,739e89a9eafc,angle,4,13,28,8,88,12,5,105,0.020589351047756364,0.9729
0,73d29ae4e3f7,angle,4,10,23,7,88,12,5,105,0.01638155478551232,0.9091
0,745de1e38a7b,angle,4,14,27,11,88,12,5,105,0.022124113666865702,0.9512
0,74ffdff890fb,angle,4,10,19,7,88,12,5,105,0.01702277499421689,0.833
0,7620e6e060af,angle,4,11,23,7,88,12,5,105,0.015715559415233043,1.0209
0,7623f278a174,angle,4,7,16,4,88,12,5,105,0.029992783963478185,0.8452
0,7623f278a174,angle,4,7,16,4,88,12,5,105,0.04330269738733017,0.7896
0,7623f278a174,angle,4,7,16,4,88,12,5,105,0.025126098722503338,0.8091
0,7623f278a174,angle,4,7,16,4,88,12,5,105,0.0319453140445522,0.8207
0,76c179aa9174,angle,4,11,25,9,88,12,5,105,0.02212172869996724,0.9813
0,76c74b79cb97,angle,4,7,16,4,88,12,5,105,0.044033383828412834,0.7338
0,76c74b79cb97,angle,4,7,16,4,88,12,5,105,0.03871727962142462,0.7781
0,772495a64140,angle,4,7,16,4,88,12,5,105,0.027433650571768498,0.7651
0,772495a64140,angle,4,7,16,4,88,12,5,105,0.02865087883216799,0.8232
0,772495a64140,angle,4,7,16,4,88,12,5,105,0.0261208822267098,0.8648
0,77b9e6ccc69b,angle,4,13,26,10,88,12,5,105,0.02411739932152006,0.963
0,77f82040d1b0,angle,4,16,26,14,88,12,5,105,0.02997611534627176,1.0281
0,78391ec1dd4e,angle,4,13,26,10,88,12,5,105,0.026533861569520444,0.8739
0,787e08f12526,angle,4,9,24,4,88,12,5,105,0.022452882789564175,0.9357
0,78a3bfe288a4,angle,4,16,26,14,88,12,5,105,0.026816052213716135,1.1021
