pair,split,seed,entangled_bae,product_bae,entangled_two_qubit,gate_count_mismatch,param_count_preserved,diff_product_minus_entangled
4,4,0,0.014285714285714235,0.02857142857142858,11,-1,True,0.014285714285714346
4,4,1,0.02857142857142858,0.014285714285714235,11,-1,True,-0.014285714285714346
4,4,2,0.014285714285714235,0.014285714285714235,11,-1,True,0.0
5,4,0,0.014285714285714235,0.014285714285714235,7,-1,True,0.0
5,4,1,0.014285714285714235,0.0,7,-1,True,-0.014285714285714235
5,4,2,0.014285714285714235,0.02857142857142858,7,-1,True,0.014285714285714346
6,4,0,0.014285714285714235,0.014285714285714235,14,-2,True,0.0
6,4,1,0.014285714285714235,0.014285714285714235,14,-2,True,0.0
6,4,2,0.0,0.0,14,-2,True,0.0
7,4,0,0.014285714285714235,0.0,7,-1,True,-0.014285714285714235
7,4,1,0.014285714285714235,0.014285714285714235,7,-1,True,0.0
7,4,2,0.014285714285714235,0.014285714285714235,7,-1,True,0.0
8,4,0,0.014285714285714235,0.014285714285714235,14,-2,True,0.0
8,4,1,0.014285714285714235,0.014285714285714235,14,-2,True,0.0
8,4,2,0.0,0.0,14,-2,True,0.0
9,4,0,0.04285714285714293,0.014285714285714235,4,0,True,-0.028571428571428692
9,4,1,0.0,0.0,4,0,True,0.0
9,4,2,0.014285714285714235,0.014285714285714235,4,0,True,0.0
10,4,0,0.014285714285714235,0.014285714285714235,10,-2,True,0.0
10,4,1,0.02857142857142858,0.014285714285714235,10,-2,True,-0.014285714285714346
10,4,2,0.014285714285714235,0.014285714285714235,10,-2,True,0.0
11,4,0,0.014285714285714235,0.014285714285714235,4,0,True,0.0
11,4,1,0.014285714285714235,0.014285714285714235,4,0,True,0.0
11,4,2,0.0,0.014285714285714235,4,0,True,0.014285714285714235
12,4,0,0.0,0.0,7,-1,True,0.0
12,4,1,0.014285714285714235,0.014285714285714235,7,-1,True,0.0
12,4,2,0.014285714285714235,0.0,7,-1,True,-0.014285714285714235
13,4,0,0.0,0.014285714285714235,10,-2,True,0.014285714285714235
13,4,1,0.014285714285714235,0.014285714285714235,10,-2,True,0.0
13,4,2,0.014285714285714235,0.014285714285714235,10,-2,True,0.0
14,4,0,0.014285714285714235,0.014285714285714235,4,0,True,0.0
14,4,1,0.02857142857142858,0.014285714285714235,4,0,True,-0.014285714285714346
14,4,2,0.014285714285714235,0.02857142857142858,4,0,True,0.014285714285714346
15,4,0,0.014285714285714235,0.014285714285714235,3,-1,True,0.0
15,4,1,0.014285714285714235,0.014285714285714235,3,-1,True,0.0
15,4,2,0.014285714285714235,0.014285714285714235,3,-1,True,0.0
16,4,0,0.014285714285714235,0.0,18,-2,True,-0.014285714285714235
16,4,1,0.014285714285714235,0.014285714285714235,18,-2,True,0.0
16,4,2,0.014285714285714235,0.014285714285714235,18,-2,True,0.0
17,4,0,0.0,0.0,8,0,True,0.0
17,4,1,0.014285714285714235,0.014285714285714235,8,0,True,0.0
17,4,2,0.014285714285714235,0.014285714285714235,8,0,True,0.0
18,4,0,0.014285714285714235,0.014285714285714235,11,-1,True,0.0
18,4,1,0.0,0.0,11,-1,True,0.0
18,4,2,0.04285714285714293,0.04285714285714293,11,-1,True,0.0
19,4,0,0.014285714285714235,0.014285714285714235,3,-1,True,0.0
19,4,1,0.028174603174603186,0.02857142857142858,3,-1,True,0.0003968253968253954
19,4,2,0.014285714285714235,0.014285714285714235,3,-1,True,0.0
