split,structural_hash,depth,gate_count,two_qubit_gate_count,total_trainable_params,val_logloss,wall_clock_seconds
0,ec3d3cfa1e99,13,19,11,61,0.0535128870528018,1.1884
0,ec7bfe0e079f,9,22,6,61,0.04724317790057231,1.4533
0,ed79c51132de,20,27,19,61,0.05693977917005739,1.5691
0,ed9992583ace,14,27,11,61,0.03624653136799295,1.4766
0,edd875503efa,13,28,8,61,0.042879315861494745,1.6161
0,ef34cf24eca2,14,26,10,61,0.04516608401154739,1.3089
0,effb0556a789,11,23,7,61,0.04093105041629532,1.3024
0,f01b47bd0a4e,4,16,0,61,0.055091361498335885,1.0149
0,f04bb4cf9438,10,19,7,61,0.04894038752013335,1.2259
0,f0785d5287f7,12,24,8,61,0.043770071664823364,1.3338
0,f0f54d37bab2,4,16,0,61,0.04699418288397909,1.1744
0,f2442c369b58,7,16,4,61,0.04728099544799994,1.3365
0,f2442c369b58,7,16,4,61,0.04942444311971322,1.1628
0,f287583de407,18,27,15,61,0.049387047305115485,1.5495
0,f386d919a671,10,19,7,61,0.05099491886421992,1.2237
0,f4cb7a4c121f,11,23,7,61,0.07646580551369281,1.3432
0,f5c22e9e174c,13,22,10,61,0.037715907937166296,1.2904
0,f5f71c50e798,10,19,7,61,0.050538713301339314,1.2177
0,f638f42f9bb0,12,24,8,61,0.05049751372775597,1.2854
0,f67cefeebe20,8,23,3,61,0.05571212489214841,1.2481
0,f727ad02a53f,14,27,11,61,0.037040762878864514,1.467
0,f7d45e3155b1,17,26,14,61,0.04222749519413034,1.5066
0,f807f337afdd,8,20,4,61,0.048617915409188694,1.2467
0,f807f337afdd,8,20,4,61,0.05518133487634263,1.2801
0,f89ac54dcd0d,8,20,4,61,0.04620837560439186,1.1821
0,fa667a5c2ce5,14,26,10,61,0.05411173392131469,1.3989
0,faac03b5f10b,15,26,14,61,0.07091505635558519,1.5715
0,fadef7f4fb6f,11,23,7,61,0.0496684873026476,1.2372
0,fb5f7aba4268,16,28,12,61,0.029421060803474914,1.6174
0,fd77ebb0115c,7,19,3,61,0.059887757676150274,1.2238
0,fd77ebb0115c,7,19,3,61,0.0556752777963179,1.3404
0,fdad693dfd24,14,26,10,61,0.05853729361014267,1.387
0,fe55878266ac,8,23,3,61,0.052039872791091096,1.2176
