split,seed,baseline,total_params,balanced_accuracy_error,accuracy,auc,logloss
3,5,C5_fixed_mlp,49,0.01388888888888884,0.9859154929577465,0.9992063492063492,0.04473659789950798
3,5,C6_fair_nas,91,0.01388888888888884,0.9859154929577465,0.9992063492063492,0.041709013430809516
4,0,C0_trivial,0,0.5,0.5070422535211268,0.5,0.6931453863109357
4,0,C1_logreg,11,0.02777777777777779,0.971830985915493,1.0,0.2387552355675331
4,0,C2_linear_svm,11,0.02777777777777779,0.971830985915493,1.0,0.06013351082636189
4,0,C3_rbf_svm,,0.0,1.0,1.0,0.01573124516876056
4,0,C4_trees,,0.0,1.0,1.0,0.018477151354771536
4,0,C5_fixed_mlp,49,0.014285714285714235,0.9859154929577465,1.0,0.04662857178494809
4,0,C6_fair_nas,91,0.0,1.0,1.0,0.04548178137423232
4,1,C0_trivial,0,0.5,0.5070422535211268,0.5,0.6931453863109357
4,1,C1_logreg,11,0.02777777777777779,0.971830985915493,1.0,0.2387552355675331
4,1,C2_linear_svm,11,0.02777777777777779,0.971830985915493,1.0,0.06013351082636189
4,1,C3_rbf_svm,,0.0,1.0,1.0,0.01573124516876056
4,1,C4_trees,,0.0,1.0,1.0,0.018477151354771536
4,1,C5_fixed_mlp,49,0.014285714285714235,0.9859154929577465,1.0,0.0429467039704276
4,1,C6_fair_nas,49,0.0,1.0,1.0,0.13072563978529525
4,2,C0_trivial,0,0.5,0.5070422535211268,0.5,0.6931453863109357
4,2,C1_logreg,11,0.02777777777777779,0.971830985915493,1.0,0.2387552355675331
4,2,C2_linear_svm,11,0.02777777777777779,0.971830985915493,1.0,0.06013351082636189
4,2,C3_rbf_svm,,0.0,1.0,1.0,0.01573124516876056
4,2,C4_trees,,0.0,1.0,1.0,0.018477151354771536
4,2,C5_fixed_mlp,49,0.014285714285714235,0.9859154929577465,1.0,0.05141544866889364
4,2,C6_fair_nas,129,0.02857142857142858,0.971830985915493,1.0,0.06657193771232232
4,3,C0_trivial,0,0.5,0.5070422535211268,0.5,0.6931453863109357
4,3,C1_logreg,11,0.02777777777777779,0.971830985915493,1.0,0.2387552355675331
4,3,C2_linear_svm,11,0.02777777777777779,0.971830985915493,1.0,0.06013351082636189
4,3,C3_rbf_svm,,0.0,1.0,1.0,0.01573124516876056
4,3,C4_trees,,0.0,1.0,1.0,0.018477151354771536
4,3,C5_fixed_mlp,49,0.014285714285714235,0.9859154929577465,1.0,0.0442114814259791
4,3,C6_fair_nas,49,0.0,1.0,1.0,0.1397616774854076
4,4,C0_trivial,0,0.5,0.5070422535211268,0.5,0.6931453863109357
4,4,C1_logreg,11,0.02777777777777779,0.971830985915493,1.0,0.2387552355675331
4,4,C2_linear_svm,11,0.02777777777777779,0.971830985915493,1.0,0.06013351082636189
4,4,C3_rbf_svm,,0.0,1.0,1.0,0.01573124516876056
4,4,C4_trees,,0.0,1.0,1.0,0.018477151354771536
4,4,C5_fixed_mlp,49,0.014285714285714235,0.9859154929577465,1.0,0.04611868864078475
4,4,C6_fair_nas,91,0.014285714285714235,0.9859154929577465,1.0,0.1771510053943347
4,5,C0_trivial,0,0.5,0.5070422535211268,0.5,0.6931453863109357
4,5,C1_logreg,11,0.02777777777777779,0.971830985915493,1.0,0.2387552355675331
4,5,C2_linear_svm,11,0.02777777777777779,0.971830985915493,1.0,0.06013351082636189
4,5,C3_rbf_svm,,0.0,1.0,1.0,0.01573124516876056
4,5,C4_trees,,0.0,1.0,1.0,0.018477151354771536
4,5,C5_fixed_mlp,49,0.014285714285714235,0.9859154929577465,1.0,0.04760025412973223
4,5,C6_fair_nas,129,0.04285714285714293,0.9577464788732394,1.0,0.07703628241780516
